id_sexo,sexo,id_jurisdiccion,jurisdiccion,anio,jurisdiccion_tasa_sifilis
1.0,Varones,78.0,Santa Cruz,2022.0,60.87631455
1.0,Varones,82.0,Santa Fe,2022.0,90.60185682
1.0,Varones,86.0,Santiago Del Estero,2022.0,11.0750668
1.0,Varones,94.0,Tierra Del Fuego,2022.0,83.03945992
1.0,Varones,90.0,Tucuman,2022.0,49.14423658
3.0,Ambos sexos,200.0,Arg,2022.0,57.6
3.0,Ambos sexos,200.0,Arg,2023.0,69.2
3.0,Ambos sexos,6.0,Buenos Aires,2022.0,32.6
3.0,Ambos sexos,6.0,Buenos Aires,2023.0,38.1
3.0,Ambos sexos,2.0,Caba,2022.0,7.7
3.0,Ambos sexos,2.0,Caba,2023.0,16.7
3.0,Ambos sexos,10.0,Catamarca,2022.0,8.0
3.0,Ambos sexos,10.0,Catamarca,2023.0,110.6
3.0,Ambos sexos,22.0,Chaco,2022.0,78.3
3.0,Ambos sexos,22.0,Chaco,2023.0,87.9
3.0,Ambos sexos,26.0,Chubut,2022.0,79.8
3.0,Ambos sexos,26.0,Chubut,2023.0,97.0
3.0,Ambos sexos,14.0,Cordoba,2022.0,138.0
3.0,Ambos sexos,14.0,Cordoba,2023.0,175.5
3.0,Ambos sexos,18.0,Corrientes,2022.0,25.2
3.0,Ambos sexos,18.0,Corrientes,2023.0,38.0
3.0,Ambos sexos,30.0,Entre Rios,2022.0,11.3
3.0,Ambos sexos,30.0,Entre Rios,2023.0,21.0
3.0,Ambos sexos,34.0,Formosa,2022.0,121.0
3.0,Ambos sexos,34.0,Formosa,2023.0,124.5
3.0,Ambos sexos,38.0,Jujuy,2022.0,108.1
3.0,Ambos sexos,38.0,Jujuy,2023.0,132.4
3.0,Ambos sexos,42.0,La Pampa,2022.0,86.5
3.0,Ambos sexos,42.0,La Pampa,2023.0,155.2
3.0,Ambos sexos,46.0,La Rioja,2022.0,64.9
3.0,Ambos sexos,46.0,La Rioja,2023.0,56.5
3.0,Ambos sexos,50.0,Mendoza,2022.0,68.2
3.0,Ambos sexos,50.0,Mendoza,2023.0,72.0
3.0,Ambos sexos,54.0,Misiones,2022.0,77.3
3.0,Ambos sexos,54.0,Misiones,2023.0,66.4
3.0,Ambos sexos,58.0,Neuquen,2022.0,29.4
3.0,Ambos sexos,58.0,Neuquen,2023.0,50.7
3.0,Ambos sexos,62.0,Rio Negro,2022.0,73.5
3.0,Ambos sexos,62.0,Rio Negro,2023.0,89.9
3.0,Ambos sexos,66.0,Salta,2022.0,92.0
3.0,Ambos sexos,66.0,Salta,2023.0,100.4
3.0,Ambos sexos,70.0,San Juan,2022.0,107.1
3.0,Ambos sexos,70.0,San Juan,2023.0,92.3
3.0,Ambos sexos,74.0,San Luis,2022.0,135.2
3.0,Ambos sexos,74.0,San Luis,2023.0,144.2
3.0,Ambos sexos,78.0,Santa Cruz,2022.0,67.5
3.0,Ambos sexos,78.0,Santa Cruz,2023.0,67.7
3.0,Ambos sexos,82.0,Santa Fe,2022.0,100.4
3.0,Ambos sexos,82.0,Santa Fe,2023.0,121.5
3.0,Ambos sexos,86.0,Santiago Del Estero,2022.0,11.0
3.0,Ambos sexos,86.0,Santiago Del Estero,2023.0,20.3
3.0,Ambos sexos,94.0,Tierra Del Fuego,2022.0,73.6
3.0,Ambos sexos,94.0,Tierra Del Fuego,2023.0,118.6
